Code,Name,Model,Size,RACKNO,Sale_rate,GST_rate,Brand_name,Lingam_stock,Kumari_stock
"220318810","FLANGE E20/12","","",null,3770,18,"ELGI ROCD SPARES",0,0
"220318820","SHIELD; OIL SEAL DUST; 2S","","","",317,18,"ELGI ROCD SPARES",0,0
"220318830","GASKET, DUST SHIELD, 20S","","","",116,18,"ELGI ROCD SPARES",0,0
"220318850","MANIFOLD; INJECTION; 20S","","","",2536,18,"ELGI ROCD SPARES",0,0
"220318870","GASKET; AIR I/L; ST2; 20/12","","","",432,18,"ELGI ROCD SPARES",0,0
"220318880","GASKET; AIR O/L; 2S","","","",118,18,"ELGI ROCD SPARES",0,0
"220319600","ELBOW, GASKET, 2S","","","",118,18,"ELGI ROCD SPARES",0,0
"220319610","PIPE, INTERSTAGE ASSY","","",null,5832,5,"ELGI ROCD SPARES",0,0
"220319620","RETAINER; O/L BRG; FE.","","",null,2143,18,"ELGI ROCD SPARES",0,0
"220319630","RETAINER; O/L BRG; MA.","","",null,2563,18,"ELGI ROCD SPARES",0,0
"220319660","RETAINER; BALANCE PISTON","","",null,1283,18,"ELGI ROCD SPARES",0,0
"220319670","SLEEVE; FEMALE","","","",942,18,"ELGI ROCD SPARES",0,0
"220319680","PISTON; BALANCING; FE.","","","",1317,18,"ELGI ROCD SPARES",0,0
"220319690","MANIFOLD; BRG; SHORT; 2S","","",null,1411,18,"ELGI ROCD SPARES",0,0
"220319750","ORIFICE; 1/2\"X1/2\"X0.172; 16/1","","",null,463,18,"ELGI ROCD SPARES",0,0
"220320170","SLEEVE; MALE; 12S","","","",1577,18,"ELGI ROCD SPARES",0,0
"220320180","PISTON; BALANCING; MA.; 20/12","","","",1838,18,"ELGI ROCD SPARES",0,0
"220320349","BDV SD 2 ST KIT","","",null,657,5,"ELGI & ATS ELGI SPARES",0,0
"220320590","RING; SEAL; 12S","","","",552,18,"ELGI ROCD SPARES",0,0
"220320630","RETAINER; I/L BRG; MA.","","","",1845,18,"ELGI ROCD SPARES",0,0
"220320670","RETAINER, BRG, 25S","","","",1328,18,"ELGI ROCD SPARES",0,0
"220320680","SPACER; ROTOR; MA. & FE.; 25S","","",null,1013,18,"ELGI ROCD SPARES",0,0
"220320690","SPACER; BRG; MA. & FE.","","","",5969,18,"ELGI ROCD SPARES",0,0
"220320740","SPACER; I/P SHAFT; 25S","","","",1719,18,"ELGI ROCD SPARES",0,0
"220320750","SPACER; GEAR MA. ROTOR; 25S","","",null,1734,18,"ELGI ROCD SPARES",0,0
"220322200","COUPLING; GEAR","","","",45141,18,"ELGI ROCD SPARES",0,0
"220322880","VALVE ASSY, BD, SILENCER 1 1/2","","","",18452,18,"ELGI ROCD SPARES",0,0
"220322889","KIT;VALVE;BLOW DOWN 1 1/2\"NPT","","","",4417,18,"ELGI ROCD SPARES",0,0
"220322920","ELEMENT THERMAL VALVE 155 DEG","","","I78/E",16670,18,"ELGI ROCD SPARES",0,1
"220325630","SEAL SHAFT VITON 3\" 25S &20/12","","","",28607,18,"ELGI ROCD SPARES",0,0
"220325640","TUBE; BRG; OIL; LINE; 20/12","","","",2158,18,"ELGI ROCD SPARES",0,0
"220325650","TUBE; GEAR; OIL; LINE; LH; 20/","","","",646,18,"ELGI ROCD SPARES",0,0
"220325660","TUBE; GEAR; OIL; LINE; RH; 20/","","","",517,18,"ELGI ROCD SPARES",0,0
"220339010","ADAPTER; I/L HSG; 900/350","","","",4587,18,"ELGI ROCD SPARES",0,0
